Frame,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,10011011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,00001111,11010101,01000111,01011101,11010101,01010101,01010100,11010101,10010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101
1,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,00111011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101
2,10011011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,10010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,01001001,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101
3,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,00111011,11010101,01000111,10101110,11100101,01010101,01010011,01010111,01010011,01010101,00011101,11101110,10101011,10110101,01010100,11010101
4,10011011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11111011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101
5,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,10010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,10111011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101
6,10011011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,10111011,10100011,10101110,11101010,10101010,10101010,01101010,11101010
7,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,10010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,10111011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101
8,10011011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11111011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101
9,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,10010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,10111011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01101110,10101011,10110101,01010100,11010101
10,10011011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11111011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101
11,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,10010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,10111011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101
12,10011011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11111011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101
13,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,10010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,10111011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101
14,10011011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11111011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101
15,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,10010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,10111011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101
16,10011011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,00001111,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101
17,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,10010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101,10111011,11010101,01000111,01011101,11010101,01010101,01010100,11010101,11010100,11010101,01000111,01011101,11010101,01010101,01010100,11010101
